sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S05;64;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;14,5601;-17;Contested;6,9601;Tip;Tip;29;12;23;3;13;40;8
S05;65;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;0,5400;-18;ML;0,5200;Tip;Blade;30;12;23;3;14;40;8
S05;66;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;16,2800;-19;Contested;5,1000;Tip;Tip;31;12;23;3;14;41;8
S05;67;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;29,0599;-20;Contested;1,4199;Tip;Tip;32;12;23;3;14;42;8
S05;68;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0005;-20;Contested;1,3800;Tip;Tip;32;12;24;3;14;43;8
S05;69;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0002;-20;Contested;1,3600;Tip;Tip;32;12;25;3;14;44;8
S05;70;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;3,6001;-19;None;;;;32;13;25;3;14;44;9
S05;71;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0002;-19;FSM;1,5199;Blade;Tip;32;13;26;4;14;44;9
S05;72;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,5599;-18;Contested;1,3999;Tip;Tip;32;14;26;4;14;45;9
S05;73;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0009;-18;Contested;3,9800;Tip;Tip;32;14;27;4;14;46;9
S05;74;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0011;-18;ML;5,3401;Tip;Blade;32;14;28;4;15;46;9
S05;75;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;10,2800;-17;None;;;;32;15;28;4;15;46;10
S05;76;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;4,2200;-16;None;;;;32;16;28;4;15;46;11
S05;77;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;28,7999;-17;Contested;3,3999;Tip;Tip;33;16;28;4;15;47;11
S05;78;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,0000;-16;Contested;1,4000;Tip;Tip;33;17;28;4;15;48;11
S05;79;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;26,0000;-17;Contested;9,2600;Tip;Tip;34;17;28;4;15;49;11
S05;80;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;12,8600;-18;Contested;4,1001;Tip;Tip;35;17;28;4;15;50;11
S05;81;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0011;-18;Contested;5,8799;Tip;Tip;35;17;29;4;15;51;11
S05;82;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,9800;-17;FSM;2,6799;Blade;Tip;35;18;29;5;15;51;11
S05;83;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;6,1000;-16;Contested;2,9399;Tip;Tip;35;19;29;5;15;52;11
S05;84;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;8,6400;-15;Contested;1,4800;Tip;Tip;35;20;29;5;15;53;11
S05;85;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;7,5000;-16;ML;3,9600;Tip;Blade;36;20;29;5;16;53;11
S05;86;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0005;-16;Contested;3,2200;Tip;Tip;36;20;30;5;16;54;11
S05;87;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;12,0200;-15;None;;;;36;21;30;5;16;54;12
S05;88;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;7,1400;-14;None;;;;36;22;30;5;16;54;13
S05;89;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;5,9000;-15;None;;;;37;22;30;5;16;54;14
S05;90;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;5,9401;-16;Contested;1,4000;Tip;Tip;38;22;30;5;16;55;14
S05;91;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0002;-16;Contested;2,4800;Tip;Tip;38;22;31;5;16;56;14
S05;92;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;8,9800;-15;Contested;1,4800;Tip;Tip;38;23;31;5;16;57;14
S05;93;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;7,4600;-14;Contested;1,4000;Tip;Tip;38;24;31;5;16;58;14
S05;94;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;4,6200;-13;None;;;;38;25;31;5;16;58;15
S05;95;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;7,5400;-12;ML;1,4801;Tip;Blade;38;26;31;5;17;58;15
S05;96;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;8,9601;-11;ML;1,5801;Tip;Blade;38;27;31;5;18;58;15
S05;97;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0010;-11;FSM;1,7000;Blade;Tip;38;27;32;6;18;58;15
S05;98;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,4199;-10;None;;;;38;28;32;6;18;58;16
S05;99;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;10,8401;-9;Contested;1,3800;Tip;Tip;38;29;32;6;18;59;16
S05;100;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0016;-9;Contested;1,3800;Tip;Tip;38;29;33;6;18;60;16
