sep=;
series_id;round;configuration;time_seconds;agent;agent_side;move_action;rotate_action;combined_action;behavior_state;opening_plan;sword_x;sword_y;tip_x;tip_y;handle_x;handle_y;my_threat_distance;opponent_threat_distance;threat_advantage;sword_distance
S03;1;H2H_ML_Left_FSM_Right;3,3222;ML;Left;DownLeft;Clockwise;DownLeft_Clockwise;Neutral;;-2,4684;0,4592;-2,0579;-0,6684;-2,8788;1,5868;10,3838;3,1987;-7,1851;2,7008
S03;1;H2H_ML_Left_FSM_Right;3,4234;FSM;Right;Left;None;Left_None;Attack;Upper;-4,0795;-1,9814;-5,2533;-2,2309;-2,9057;-1,7319;2,9295;10,7013;7,7718;2,6391
S03;1;H2H_ML_Left_FSM_Right;3,4234;ML;Left;DownLeft;None;DownLeft_None;Neutral;;-2,6748;0,2528;-2,4458;-0,9252;-2,9038;1,4307;10,7013;2,9295;-7,7718;2,6391
S03;1;H2H_ML_Left_FSM_Right;3,5245;FSM;Right;Left;None;Left_None;Attack;Upper;-4,3355;-2,0675;-5,5093;-2,3170;-3,1617;-1,8180;2,6595;10,8370;8,1774;2,5712
S03;1;H2H_ML_Left_FSM_Right;3,5245;ML;Left;Down;None;Down_None;Neutral;;-2,8588;0,0373;-2,6298;-1,1406;-3,0878;1,2153;10,8370;2,6595;-8,1774;2,5712
S03;1;H2H_ML_Left_FSM_Right;3,6254;FSM;Right;DownLeft;None;DownLeft_None;Attack;Upper;-4,5872;-2,1627;-5,7609;-2,4121;-3,4134;-1,9132;2,3905;10,8414;8,4509;2,5560
S03;1;H2H_ML_Left_FSM_Right;3,6254;ML;Left;DownLeft;None;DownLeft_None;Defending;;-2,9130;-0,2312;-2,6840;-1,4092;-3,1420;0,9467;10,8414;2,3905;-8,4509;2,5560
S03;1;H2H_ML_Left_FSM_Right;3,7259;FSM;Right;DownLeft;None;DownLeft_None;Attack;Upper;-4,8359;-2,2617;-6,0097;-2,5112;-3,6621;-2,0122;2,1228;10,9818;8,8590;2,5176
S03;1;H2H_ML_Left_FSM_Right;3,7259;ML;Left;DownLeft;None;DownLeft_None;Defending;;-3,0901;-0,4477;-2,8611;-1,6256;-3,3191;0,7303;10,9818;2,1228;-8,8590;2,5176
S03;1;H2H_ML_Left_FSM_Right;3,8265;FSM;Right;DownLeft;None;DownLeft_None;Attack;Upper;-5,0847;-2,3620;-6,2585;-2,6115;-3,9110;-2,1125;1,8547;11,1287;9,2741;2,4863
