sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
83;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,9800;None;;;;45;35;3;2;10;31;40
84;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,6000;Contested;1,3400;Tip;Tip;45;36;3;2;10;32;40
85;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;9,9800;Contested;4,1801;Tip;Tip;46;36;3;2;10;33;40
86;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6600;Contested;1,4400;Tip;Tip;46;37;3;2;10;34;40
87;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,8199;Contested;1,4600;Tip;Tip;46;38;3;2;10;35;40
88;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;29,8000;Contested;1,3400;Tip;Tip;47;38;3;2;10;36;40
89;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;17,0000;ML;5,3800;Tip;Blade;48;38;3;2;11;36;40
90;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;11,1000;ML;8,9400;Tip;Blade;49;38;3;2;12;36;40
91;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2800;None;;;;50;38;3;2;12;36;41
92;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,5200;None;;;;50;39;3;2;12;36;42
93;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;27,3000;Contested;1,3400;Tip;Tip;51;39;3;2;12;37;42
94;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,7800;Contested;1,3400;Tip;Tip;52;39;3;2;12;38;42
95;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2400;Contested;1,3800;Tip;Tip;52;40;3;2;12;39;42
96;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;20,2400;Contested;1,3400;Tip;Tip;53;40;3;2;12;40;42
97;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2200;None;;;;54;40;3;2;12;40;43
98;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2599;Contested;1,4400;Tip;Tip;54;41;3;2;12;41;43
99;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,4400;ML;1,5000;Tip;Blade;54;42;3;2;13;41;43
100;ML_Left_FSM_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2200;None;;;;55;42;3;2;13;41;44
